scaling,analysis,layer,method,workers,effective_workers,complexity,total_points,repeats,median_wall_s,median_total_cpu_s,median_aggregate_rss_kb,throughput_points_s,effective_cpu
weak,dc,end_to_end,ngspice_official_independent,1,1,21,1000,1,95.17076929914765,82.09,11864.0,10.507427935742829,0.8625547592451288
weak,dc,end_to_end,ngspice_official_independent,2,2,21,2000,1,97.83984985295683,165.53,23728.0,20.441568573600563,1.6918464229940506
weak,dc,end_to_end,ngspice_official_independent,4,4,21,4000,1,102.73086702404544,338.61,47456.0,38.93669075199911,3.2960882138836047
weak,dc,end_to_end,ngspice_official_independent,8,8,21,8000,1,113.04511938802898,731.16,94912.0,70.76820338027939,6.467859947940635
weak,dc,end_to_end,ngspice_official_independent,16,16,21,16000,1,116.70620951708406,1476.05,189824.0,137.0963898682515,12.647570391564539
weak,dc,end_to_end,ngspice_official_independent,32,32,21,32000,1,245.64376940694638,3049.6,379648.0,130.26994365563215,12.414725630381744
weak,dc,end_to_end,ngspice_official_independent,64,64,21,64000,1,249.1256957410369,6645.03,759296.0,256.8984295643562,26.673402678250525
weak,dc,end_to_end,ngspice_optimized_independent,1,1,21,1000,1,97.33349072211422,82.21000000000001,11876.0,10.273955989670466,0.844621921910809
weak,dc,end_to_end,ngspice_optimized_independent,2,2,21,2000,1,97.87317175301723,165.59,23752.0,20.434609037162872,1.6918834552319002
weak,dc,end_to_end,ngspice_optimized_independent,4,4,21,4000,1,102.8247128680814,336.58,47504.0,38.90115409446157,3.2733376112784685
weak,dc,end_to_end,ngspice_optimized_independent,8,8,21,8000,1,112.27859355206601,735.57,95008.0,71.25133782772427,6.551293320742394
weak,dc,end_to_end,ngspice_optimized_independent,16,16,21,16000,1,116.18079230515286,1476.39,190016.0,137.71639599405938,12.707694367604335
weak,dc,end_to_end,ngspice_optimized_independent,32,32,21,32000,1,229.19084355980158,3051.34,380032.0,139.62163366989137,13.31353361507145
weak,dc,end_to_end,ngspice_optimized_independent,64,64,21,64000,1,251.19646660797298,6657.45,760064.0,254.78065382138078,26.502960371611742
weak,dc,end_to_end,ngspice_optimized_reuse,1,1,21,1000,1,111.3816102789715,110.97999999999999,17764.0,8.978142778645003,0.9963942855740224
weak,dc,end_to_end,ngspice_optimized_reuse,2,2,21,2000,1,112.01887627411634,222.74,35528.0,17.85413375426022,1.988414876211961
weak,dc,end_to_end,ngspice_optimized_reuse,4,4,21,4000,1,113.11044770595618,449.29,71048.0,35.36366517086439,3.972135281154415
