scaling,analysis,layer,method,workers,effective_workers,complexity,total_points,repeats,median_wall_s,median_total_cpu_s,median_aggregate_rss_kb,throughput_points_s,effective_cpu,parallel_efficiency
weak,dc,solver_only,ngspice_official_independent,128,128,21,128000,3,579.331152661005,15563.0,1516544.0,220.94444500708397,26.8637374816035,0.16168523306522398
weak,dc,solver_only,ngspice_official_independent,192,192,21,192000,3,842.4912720930297,21445.760000000002,2274816.0,227.89553596562237,25.45517171557347,0.11118132085479489
weak,dc,solver_only,ngspice_official_independent,256,256,21,256000,3,1104.2875913048629,27603.14,3033088.0,231.8236680514556,24.996332673976,0.08482327717660641
weak,dc,solver_only,ngspice_optimized_independent,1,1,21,1000,3,93.88084542192519,81.54,11856.0,10.651800114344276,0.8685477813236323,1.0
weak,dc,solver_only,ngspice_optimized_independent,2,2,21,2000,3,96.14475294202566,164.11,23712.0,20.80196722962074,1.70690542102653,0.976453134977989
weak,dc,solver_only,ngspice_optimized_independent,4,4,21,4000,3,97.89993271208368,331.65,47424.0,40.85804646836375,3.3876427778082094,0.9589469861845734
weak,dc,solver_only,ngspice_optimized_independent,8,8,21,8000,3,105.09605489904061,687.74,94848.0,76.12084019409781,6.543918329386103,0.8932861039561457
weak,dc,solver_only,ngspice_optimized_independent,16,16,21,16000,3,115.07165580592118,1465.24,189696.0,139.04379743162343,12.733283359294495,0.8158468283472323
weak,dc,solver_only,ngspice_optimized_independent,32,32,21,32000,3,131.72911255713552,2935.15,379392.0,242.92276307654075,22.281710876378394,0.7126810740579899
weak,dc,solver_only,ngspice_optimized_independent,64,64,21,64000,3,246.02791283885017,6635.25,758784.0,260.1330851508723,26.96950083198946,0.38158615556527414
weak,dc,solver_only,ngspice_optimized_independent,128,128,21,128000,3,580.1297423010692,15562.24,1517568.0,220.64029934457662,26.825447594313626,0.16182732684855858
weak,dc,solver_only,ngspice_optimized_independent,192,192,21,192000,3,841.058972494211,21502.260000000002,2276352.0,228.28363560596998,25.56569836742096,0.11162219118062064
weak,dc,solver_only,ngspice_optimized_independent,256,256,21,256000,3,1104.5612713729497,27598.19,3035136.0,231.76622848798294,24.985657849198304,0.08499378699493328
weak,dc,solver_only,ngspice_optimized_reuse,1,1,21,1000,3,110.98115515406244,110.9,16704.0,9.010538758691188,0.9992687483388529,1.0
weak,dc,solver_only,ngspice_optimized_reuse,2,2,21,2000,3,111.57440335000865,222.84,33408.0,17.92525830253382,1.9972322800683184,0.9946829364250759
weak,dc,solver_only,ngspice_optimized_reuse,4,4,21,4000,3,113.53313016984612,452.16999999999996,66832.0,35.23200667519675,3.9827141145809284,0.9775221998022435
weak,dc,solver_only,ngspice_optimized_reuse,8,8,21,8000,3,119.87221788405441,951.11,133688.0,66.73773240550155,7.934365583524572,0.9258288293406585
weak,dc,solver_only,ngspice_optimized_reuse,16,16,21,16000,3,125.90353512996808,1972.43,267332.0,127.08141978287958,15.666200301396575,0.8814776728826437
weak,dc,solver_only,ngspice_optimized_reuse,32,32,21,32000,3,125.51258957013488,3945.2,534728.0,254.9545038437662,31.43270339263832,0.8842232921347508
weak,dc,solver_only,ngspice_optimized_reuse,64,64,21,64000,3,133.12705375999212,8287.72,1069404.0,480.7437571283016,62.25421329417761,0.8336483984250461
weak,dc,solver_only,ngspice_optimized_reuse,128,128,21,128000,3,141.6900257440284,16732.02,2138804.0,903.3804555250753,118.08890507386461,0.7832672382638749
weak,dc,solver_only,ngspice_optimized_reuse,192,192,21,192000,3,268.5969783940818,41155.66,3208152.0,714.825614003372,153.22458296465638,0.41318839779065725
weak,dc,solver_only,ngspice_optimized_reuse,256,256,21,256000,3,277.9467413958628,64783.17,4277544.0,921.0397600430748,233.07763809230357,0.3992892832515661
